Asset;numbox;Open;Side;Buy_Quantity;Sell_Quantity;Buy_Price;Sell_Price;Operation_Result;Interval_Result_ticks;Accum_Total
WINFUT;23;21/08/2024 10:57:39;Compra;1;-1;138890;138685;-41;-205;66
WINFUT;47;21/08/2024 15:10:05;Venda;1;-1;138765;138690;-15;-75;66
WINFUT;30;22/08/2024 10:48:34;Venda;1;-1;137755;137925;34;170;34
WINFUT;32;22/08/2024 10:56:14;Compra;1;-1;137725;137795;14;70;48
WINFUT;33;22/08/2024 11:01:03;Venda;1;-1;137730;137825;19;95;67
WINFUT;34;22/08/2024 11:04:57;Compra;1;-1;137725;137745;4;20;71
WINFUT;42;22/08/2024 11:56:48;Venda;1;-1;137425;137725;60;300;131
WINFUT;47;22/08/2024 12:11:34;Compra;1;-1;137425;137220;-41;-205;90
WINFUT;59;22/08/2024 13:39:24;Venda;1;-1;136895;137225;66;330;156
WINFUT;67;22/08/2024 14:33:13;Compra;1;-1;136825;136920;19;95;175
WINFUT;72;22/08/2024 14:46:17;Venda;1;-1;137130;136925;-41;-205;134
WINFUT;13;23/08/2024 09:29:08;Compra;1;-1;137660;137860;40;200;40
WINFUT;44;23/08/2024 11:00:42;Venda;1;-1;137965;137760;-41;-205;-1
WINFUT;62;23/08/2024 11:51:41;Compra;1;-1;137960;138160;40;200;39
WINFUT;65;23/08/2024 11:58:29;Venda;1;-1;138465;138260;-41;-205;-2
WINFUT;71;23/08/2024 12:14:29;Compra;1;-1;138260;138350;18;90;16
WINFUT;72;23/08/2024 12:14:50;Venda;1;-1;138360;138360;0;0;16
WINFUT;77;23/08/2024 12:49:59;Compra;1;-1;138260;138055;-41;-205;-25
WINFUT;44;16/09/2024 10:42:27;Compra;1;-1;136640;136435;-41;-205;-41
WINFUT;72;16/09/2024 14:52:51;Venda;1;-1;136255;136240;-3;-15;-41
WINFUT;11;17/09/2024 09:35:28;Compra;1;-1;136250;136045;-41;-205;-41
WINFUT;37;17/09/2024 11:01:18;Venda;1;-1;135655;135450;-41;-205;-82
WINFUT;51;17/09/2024 11:59:10;Compra;1;-1;135450;135545;19;95;-63
WINFUT;52;17/09/2024 12:02:39;Venda;1;-1;135755;135550;-41;-205;-104
WINFUT;61;17/09/2024 14:22:31;Compra;1;-1;135450;135550;20;100;-84
WINFUT;63;17/09/2024 14:56:43;Venda;1;-1;135855;135650;-41;-205;-125
WINFUT;7;18/09/2024 09:06:21;Compra;1;-1;135940;135735;-41;-205;-41
WINFUT;26;18/09/2024 10:20:04;Venda;1;-1;135845;135640;-41;-205;-82
WINFUT;41;18/09/2024 10:36:47;Compra;1;-1;135540;135335;-41;-205;-123
WINFUT;54;18/09/2024 10:55:17;Venda;1;-1;135240;135440;40;200;-83
WINFUT;59;18/09/2024 11:20:27;Compra;1;-1;135140;134935;-41;-205;-124
WINFUT;69;18/09/2024 13:26:57;Venda;1;-1;135345;135140;-41;-205;-165
WINFUT;84;18/09/2024 14:59:05;Compra;1;-1;135040;135040;0;0;-165
WINFUT;110;18/09/2024 14:59:06;Compra;1;-1;135040;135640;120;600;-45
WINFUT;134;18/09/2024 15:00:16;Compra;1;-1;135640;135775;27;135;-18
WINFUT;136;18/09/2024 15:00:18;Venda;1;-1;135830;135840;2;10;-16
WINFUT;140;18/09/2024 15:00:19;Venda;1;-1;135940;135840;-20;-100;-36
WINFUT;148;18/09/2024 15:00:41;Venda;1;-1;136245;136040;-41;-205;-77
WINFUT;155;18/09/2024 15:00:49;Compra;1;-1;135940;136165;45;225;-32
WINFUT;194;18/09/2024 15:00:59;Venda;1;-1;136140;136240;20;100;-12
WINFUT;222;18/09/2024 15:16:58;Venda;1;-1;136045;135840;-41;-205;-53
WINFUT;236;18/09/2024 15:42:14;Compra;1;-1;135840;135635;-41;-205;-94
WINFUT;265;18/09/2024 16:11:25;Venda;1;-1;134935;135140;41;205;-53
WINFUT;282;18/09/2024 16:40:43;Compra;1;-1;134840;134635;-41;-205;-94
WINFUT;292;18/09/2024 17:33:34;Venda;1;-1;134640;134840;40;200;-54
WINFUT;16;19/09/2024 09:00:47;Compra;1;-1;135750;135785;7;35;7
WINFUT;94;19/09/2024 09:00:49;Venda;1;-1;135850;135750;-20;-100;-13
WINFUT;141;19/09/2024 09:02:21;Venda;1;-1;136055;135850;-41;-205;-54
WINFUT;153;19/09/2024 09:16:05;Compra;1;-1;135850;136115;53;265;-1
WINFUT;156;19/09/2024 09:19:21;Venda;1;-1;136050;136150;20;100;19
WINFUT;158;19/09/2024 09:27:47;Compra;1;-1;135950;135745;-41;-205;-22
WINFUT;186;19/09/2024 10:15:18;Venda;1;-1;135410;135550;28;140;6
WINFUT;188;19/09/2024 10:19:59;Compra;1;-1;135350;135450;20;100;26
WINFUT;189;19/09/2024 10:20:08;Venda;1;-1;135655;135450;-41;-205;-15
WINFUT;198;19/09/2024 10:31:07;Compra;1;-1;135350;135145;-41;-205;-56
WINFUT;216;19/09/2024 11:01:58;Venda;1;-1;134860;134950;18;90;-38
WINFUT;217;19/09/2024 11:03:33;Compra;1;-1;134850;134880;6;30;-32
WINFUT;218;19/09/2024 11:04:04;Venda;1;-1;134750;134950;40;200;8
WINFUT;225;19/09/2024 11:24:15;Compra;1;-1;134650;134445;-41;-205;-33
WINFUT;234;19/09/2024 11:48:55;Venda;1;-1;134755;134550;-41;-205;-74
WINFUT;255;19/09/2024 14:50:34;Compra;1;-1;134450;134245;-41;-205;-115
WINFUT;265;19/09/2024 15:54:10;Venda;1;-1;134205;134450;49;245;-66
WINFUT;270;19/09/2024 16:39:33;Compra;1;-1;134150;133945;-41;-205;-107
WINFUT;8;20/09/2024 09:05:13;Venda;1;-1;133740;133940;40;200;40
WINFUT;25;20/09/2024 09:51:35;Compra;1;-1;133640;133840;40;200;80
WINFUT;28;20/09/2024 09:57:35;Venda;1;-1;133710;133940;46;230;126
WINFUT;33;20/09/2024 10:06:47;Compra;1;-1;133640;133740;20;100;146
WINFUT;37;20/09/2024 10:08:39;Venda;1;-1;134045;133840;-41;-205;105
WINFUT;48;20/09/2024 10:20:34;Compra;1;-1;133740;133535;-41;-205;64
WINFUT;55;20/09/2024 10:23:09;Venda;1;-1;133640;133840;40;200;104
WINFUT;62;20/09/2024 10:34:40;Compra;1;-1;133540;133335;-41;-205;63
WINFUT;93;20/09/2024 12:55:00;Venda;1;-1;132350;132640;58;290;121
WINFUT;96;20/09/2024 13:11:49;Compra;1;-1;132340;132400;12;60;133
WINFUT;97;20/09/2024 13:36:00;Venda;1;-1;132325;132440;23;115;156
WINFUT;99;20/09/2024 13:52:59;Compra;1;-1;132240;132035;-41;-205;115
WINFUT;111;20/09/2024 15:34:31;Venda;1;-1;132045;131840;-41;-205;74
